mondo_id	property	value_old	value_new
MONDO:0000001	label	disease	disease or disorder
MONDO:0002816	label	adrenal cortex disorder	adrenal cortex disease
MONDO:0021034	label	hereditary alopecia	genetic alopecia
MONDO:0003847	label	hereditary disease	Mendelian disease
MONDO:0015508	label	hereditary parenchymatous liver disease	genetic parenchymatous liver disease
MONDO:0020128	label	motor neuron disorder	motor neuron disease
MONDO:0005039	label	reproductive system disorder	reproductive system disease
MONDO:0015572	label	obsolete cerebral malformation due to abnormal neuronal migration	cerebral malformation due to abnormal neuronal migration
MONDO:0002259	label	gonadal disorder	gonadal disease
MONDO:0018562	label	hereditary otorhinolaryngological malformation	genetic otorhinolaryngological malformation
MONDO:0006600	label	obsolete pigmentation disease	pigmentation disease
MONDO:0020127	label	hereditary peripheral neuropathy	genetic peripheral neuropathy
MONDO:0005560	label	brain disorder	brain disease
MONDO:0019117	label	obsolete genetic nervous system disorder	genetic nervous system disorder
MONDO:0000140	label	obsolete MONDO:0000140	
MONDO:0015945	label	obsolete polymalformative genetic syndrome with increased risk of developing cancer	polymalformative genetic syndrome with increased risk of developing cancer
MONDO:0003225	label	bone marrow disorder	bone marrow disease
MONDO:0005172	label	skeletal system disorder	skeletal system disease
MONDO:0015656	label	obsolete metabolic disease with epilepsy	metabolic disease with epilepsy
MONDO:0015919	label	obsolete syndromic neurometabolic disease with non-X-linked intellectual disability	syndromic neurometabolic disease with non-X-linked intellectual disability
MONDO:0018132	label	obsolete congenital muscular alpha-dystroglycanopathy with brain and eye anomalies	congenital muscular alpha-dystroglycanopathy with brain and eye anomalies
MONDO:0018284	label	obsolete congenital disorder of glycosylation with neurological involvement	congenital disorder of glycosylation with neurological involvement
MONDO:0018296	label	obsolete congenital disorder of glycosylation with developmental anomaly	congenital disorder of glycosylation with developmental anomaly
MONDO:0020259	label	obsolete myopathy with eye involvement	myopathy with eye involvement
MONDO:0017272	label	obsolete autosomal ichthyosis syndrome with prominent neurologics signs	autosomal ichthyosis syndrome with prominent neurologics signs
MONDO:0017273	label	obsolete autosomal ichthyosis syndrome with fatal disease course	autosomal ichthyosis syndrome with fatal disease course
MONDO:0043005	label	obsolete genetic multiple congenital anomalies/dysmorphic syndrome	genetic multiple congenital anomalies/dysmorphic syndrome
MONDO:0019058	label	obsolete neurometabolic disease	neurometabolic disease
MONDO:0015336	label	obsolete malformation syndrome with odontal and/or periodontal component	malformation syndrome with odontal and/or periodontal component
MONDO:0000218	label	obsolete preimplantation embryonic lethality	preimplantation embryonic lethality
MONDO:0004805	label	leukocyte disorder	leukocyte disease
MONDO:0020592	label	disorder of pharynx	disease of pharynx
MONDO:0043424	label	digestive system infectious disorder	digestive system infectious disease
MONDO:0000237	label	obsolete erysipeloid	erysipeloid
MONDO:0000238	label	obsolete pestis minor	pestis minor
MONDO:0044987	label	obsolete face disorder	face disease
MONDO:0002917	label	disorder of pilosebaceous unit	disease of pilosebaceous unit
MONDO:0024481	label	skin appendage disorder	skin appendage disease
MONDO:0002051	label	integumentary system disorder	integumentary system disease
MONDO:0024294	label	skin disorder caused by infection	skin disease caused by infection
MONDO:0000270	label	lower respiratory tract disorder	lower respiratory tract disease
MONDO:0005087	label	respiratory system disorder	respiratory system disease
MONDO:0005154	label	liver disorder	liver disease
MONDO:0005093	label	skin disorder	skin disease
MONDO:0004928	label	lymph node disorder	lymph node disease
MONDO:0000812	label	vertebral column disorder	vertebral column disease
MONDO:0044965	label	obsolete abdominal and pelvic region disorder	abdominal and pelvic region disorder
MONDO:0004335	label	digestive system disorder	digestive system disease
MONDO:0020242	label	hereditary macular dystrophy	genetic macular dystrophy
MONDO:0024634	label	large intestine disorder	large intestine disease
MONDO:0045013	label	disorder of extraembryonic membrane	disease of extraembryonic membrane
MONDO:0003900	label	connective tissue disorder	connective tissue disease
MONDO:0002427	label	cerebellar disorder	cerebellar disease
MONDO:0004736	label	inborn disorder of amino acid metabolism	inherited amino acid metabolic disorder
MONDO:0016401	label	obsolete energy metabolism disorder with epilepsy	energy metabolism disorder with epilepsy
